epoch,angle_diffusion_voxel,angle_combined_diffusion,angle_combined_voxel,angle_sum_combined,angle_deviation_from_90
42,85.92215701340676,30.82950152927425,43.72452403225433,74.55402556152858,-15.445974438471424
43,86.51771903727386,32.15355962596729,44.603298730404475,76.75685835637177,-13.243141643628235
44,85.72152703623387,23.217973084491728,41.44462185149389,64.66259493598562,-25.337405064014376
45,87.08971676142656,31.408752749646894,44.215698044144304,75.6244507937912,-14.375549206208802
46,86.53838617514477,33.22559320939784,43.721399949655925,76.94699315905376,-13.053006840946239
47,86.33511059274916,31.09648510206686,37.65014462230336,68.74662972437022,-21.253370275629777
48,86.08962288183648,27.197768256144755,43.95547981599333,71.15324807213808,-18.846751927861916
49,86.58192618961402,22.411331184537374,36.59430062345365,59.00563180799102,-30.994368192008977
50,85.90762892088605,10.01693717262393,38.70460324240806,48.721540415031996,-41.278459584968004
51,86.52587753506226,33.371065702460925,43.04651744927265,76.41758315173357,-13.582416848266433
52,86.86843355469284,32.96740934411162,44.203742989509884,77.1711523336215,-12.828847666378493
53,86.49125217318392,30.216655599416992,43.3005365808418,73.51719218025879,-16.48280781974121
54,86.08862800964182,26.240068814436416,42.763284311160845,69.00335312559726,-20.996646874402742
55,86.89437107423521,25.269087707433236,42.16588271508668,67.43497042251991,-22.56502957748009
56,85.15348529869004,10.8274108654568,37.631970903952606,48.459381769409404,-41.540618230590596
57,87.12883976472254,28.976245311625224,44.634899713332096,73.61114502495732,-16.388854975042676
58,86.93542463170787,9.440939299371776,45.735920318691115,55.17685961806289,-34.82314038193711
59,86.72253942986487,26.43013614217596,44.231197291348586,70.66133343352455,-19.338666566475453
60,85.96880018202359,4.576979717296585,38.31139202938537,42.888371746681955,-47.111628253318045
61,86.3663867065729,22.146119912684807,41.93105200839202,64.07717192107683,-25.922828078923175
62,86.85449542167544,34.43554721827947,40.82165095702488,75.25719817530435,-14.742801824695647
63,86.28831135774792,16.988992209036972,42.01445696181528,59.00344917085225,-30.99655082914775
64,86.78362899799838,15.163262766106417,37.89057720944902,53.053839975555434,-36.946160024444566
65,86.34821883149272,28.668779283476965,43.74034163350954,72.4091209169865,-17.590879083013505
66,86.67435210299112,24.642439206650067,39.97960831607969,64.62204752272976,-25.37795247727024
67,86.89918252868567,27.83530991356505,43.038999870985826,70.87430978455087,-19.125690215449126
68,87.25445673918945,22.93903560475539,45.294085277799915,68.23312088255531,-21.766879117444688
69,86.9280692009285,21.48003802443752,44.41432821193096,65.89436623636848,-24.105633763631516
70,87.47183942117289,19.15806086064282,46.12143894719947,65.27949980784229,-24.720500192157715
71,87.42101707549021,21.477393157678968,40.79590368414233,62.2732968418213,-27.7267031581787
72,87.41202839388652,16.33754373395552,45.54216294239696,61.879706676352484,-28.120293323647516
